date_processed,who_processed,date_set,date_collected,time_set,time_collected,site,habitat,microhabitat,taxon,abundance,wet_weight,wet_weight_unit,note,correction
4/15/2021,zaria_bopp,4/6/2021,4/8/2021,15:01:00,17:00:00,st3,stream,pool,diptera,1,0,mg,less than <1 mg,
4/15/2021,zaria_bopp,4/6/2021,4/8/2021,15:01:00,17:00:00,st3,stream,riffle,diptera,7,5,mg,,
4/15/2021,zaria_bopp,4/6/2021,4/8/2021,15:01:00,17:00:00,st3,stream,pool,other,1,0,mg,less than <1 mg,
4/15/2021,zaria_bopp,4/6/2021,4/8/2021,15:01:00,17:00:00,st3,stream,riffle,other,3,22,mg,,
4/22/2021,zaria_bopp,4/6/2021,4/8/2021,13:59:00,16:15:00,st1,stream,riffle,caddisfly,1,21,mg,,8/7/21 AT abundance wet_weight correct
4/22/2021,zaria_bopp,4/6/2021,4/8/2021,13:59:00,16:15:00,st1,stream,riffle,other,73,714,mg,,8/7/21 AT abundance wet_weight correct
4/22/2021,zaria_bopp,4/6/2021,4/8/2021,13:59:00,16:15:00,st1,stream,riffle,diptera,84,13,mg,,8/7/21 AT taxon correct
4/22/2021,zaria_bopp,4/6/2021,4/8/2021,13:59:00,16:15:00,st1,stream,riffle,diptera,2,60,mg,,8/7/21 AT taxon correct
4/22/2021,zaria_bopp,4/6/2021,4/8/2021,14:38:00,16:45:00,st2,wetland,open,other,2,0,mg,less than <1 mg,8/7/21 AT taxon correct
4/22/2021,zaria_bopp,4/6/2021,4/8/2021,14:38:00,16:45:00,st2,wetland,closed,diptera,2,0,mg,less than <1 mg,
4/22/2021,zaria_bopp,4/6/2021,4/8/2021,14:38:00,16:45:00,st2,stream,pool,diptera,7,1,mg,,
4/22/2021,zaria_bopp,4/6/2021,4/8/2021,14:38:00,16:45:00,st2,stream,pool,other,4,1,mg,,
3/18/2022,akira_terui,4/6/2021,4/8/2021,13:59:00,16:15:00,st1,wetland,for_side,no_aquatic_insect,0,0,mg,,"3/18/22 AT, specified taxon, abundance, wet mass"
3/18/2022,akira_terui,4/6/2021,4/8/2021,13:59:00,16:15:00,st1,wetland,road_side,no_aquatic_insect,0,0,mg,,"3/18/22 AT, specified taxon, abundance, wet mass"
3/18/2022,akira_terui,4/6/2021,4/8/2021,14:38:00,16:45:00,st2,wetland,open,no_aquatic_insect,0,0,mg,,"3/18/22 AT, specified taxon, abundance, wet mass"
5/19/2021,kiersten_dery,5/12/2021,5/17/2021,14:15:00,11:14:00,st1,stream,riffle,diptera,518,73,mg,,
5/19/2021,kiersten_dery,5/12/2021,5/17/2021,14:15:00,11:14:00,st1,stream,riffle,mayfly,1,2,mg,,
5/19/2021,kiersten_dery,5/12/2021,5/17/2021,14:15:00,11:14:00,st1,stream,riffle,other,58,462,mg,,
5/24/2021,kiersten_dery,5/12/2021,5/17/2021,14:15:00,11:14:00,st1,wetland,for_side,diptera,18,26,mg,,8/7/21 AT abundance wet_weight correct
5/24/2021,kiersten_dery,5/12/2021,5/17/2021,14:15:00,11:14:00,st1,wetland,for_side,other,5,2,mg,,8/7/21 AT abundance wet_weight correct
5/24/2021,kiersten_dery,5/12/2021,5/17/2021,14:15:00,11:14:00,st1,stream,pool,diptera,85,4,mg,,
5/24/2021,kiersten_dery,5/12/2021,5/17/2021,14:15:00,11:14:00,st1,wetland,road_side,diptera,16,18,mg,,
5/24/2021,kiersten_dery,5/12/2021,5/17/2021,14:15:00,11:14:00,st1,stream,pool,other,10,0,mg,less than 1 mg,
5/24/2021,kiersten_dery,5/12/2021,5/17/2021,14:15:00,11:14:00,st1,wetland,road_side,other,3,5,mg,,
5/24/2021,kiersten_dery,5/12/2021,5/17/2021,15:03:00,11:38:00,st2,wetland,closed,diptera,76,50,mg,,
5/26/2021,kiersten_dery,5/12/2021,5/17/2021,15:03:00,11:38:00,st2,wetland,open,caddisfly,1,0,mg,less than 1 mg,
5/26/2021,kiersten_dery,5/12/2021,5/17/2021,15:03:00,11:38:00,st2,wetland,open,diptera,88,64,mg,,
5/26/2021,kiersten_dery,5/12/2021,5/17/2021,15:03:00,11:38:00,st2,stream,pool,diptera,135,30,mg,,
5/26/2021,kiersten_dery,5/12/2021,5/17/2021,15:03:00,11:38:00,st2,stream,riffle,diptera,171,24,mg,,
5/26/2021,kiersten_dery,5/12/2021,5/17/2021,15:03:00,11:38:00,st2,wetland,open,mayfly,2,16,mg,,
5/26/2021,kiersten_dery,5/12/2021,5/17/2021,15:03:00,11:38:00,st2,wetland,open,other,3,15,mg,,
5/26/2021,kiersten_dery,5/12/2021,5/17/2021,15:03:00,11:38:00,st2,stream,pool,other,5,0,mg,less than 1 mg,
5/26/2021,kiersten_dery,5/12/2021,5/17/2021,15:03:00,11:38:00,st2,stream,riffle,other,16,343,mg,,
6/2/2021,kiersten_dery,5/12/2021,5/17/2021,15:36:00,11:52:00,st3,stream,pool,caddisfly,1,7,mg,,
6/2/2021,kiersten_dery,5/12/2021,5/17/2021,15:36:00,11:52:00,st3,stream,riffle,caddisfly,6,78,mg,,
6/2/2021,kiersten_dery,5/12/2021,5/17/2021,15:36:00,11:52:00,st3,stream,pool,diptera,65,12,mg,,
6/2/2021,kiersten_dery,5/12/2021,5/17/2021,15:36:00,11:52:00,st3,stream,riffle,diptera,332,57,mg,,
6/2/2021,kiersten_dery,5/12/2021,5/17/2021,15:36:00,11:52:00,st3,stream,riffle,mayfly,3,3,mg,,
6/2/2021,kiersten_dery,5/12/2021,5/17/2021,15:36:00,11:52:00,st3,stream,pool,other,4,0,mg,less than 1 mg,
6/2/2021,kiersten_dery,5/12/2021,5/17/2021,15:36:00,11:52:00,st3,stream,riffle,other,100,766,mg,,
6/21/2021,kiersten_dery,6/14/2021,6/17/2021,11:26:00,8:30:00,st1,stream,pool,caddisfly,2,16,mg,,
6/21/2021,kiersten_dery,6/14/2021,6/17/2021,11:26:00,8:30:00,st1,stream,riffle,caddisfly,37,286,mg,,
6/21/2021,kiersten_dery,6/14/2021,6/17/2021,11:26:00,8:30:00,st1,wetland,road_side,caddisfly,1,5,mg,,
6/21/2021,kiersten_dery,6/14/2021,6/17/2021,11:26:00,8:30:00,st1,wetland,for_side,diptera,41,67,mg,,
6/21/2021,kiersten_dery,6/14/2021,6/17/2021,11:26:00,8:30:00,st1,stream,pool,diptera,35,0,mg,less than 1 mg,
6/21/2021,kiersten_dery,6/14/2021,6/17/2021,11:26:00,8:30:00,st1,stream,riffle,diptera,104,33,mg,,
6/21/2021,kiersten_dery,6/14/2021,6/17/2021,11:26:00,8:30:00,st1,wetland,road_side,diptera,47,78,mg,,
6/21/2021,kiersten_dery,6/14/2021,6/17/2021,11:26:00,8:30:00,st1,wetland,for_side,other,21,32,mg,,
6/21/2021,kiersten_dery,6/14/2021,6/17/2021,11:26:00,8:30:00,st1,stream,pool,other,1,2,mg,,
6/21/2021,kiersten_dery,6/14/2021,6/17/2021,11:26:00,8:30:00,st1,stream,riffle,other,85,372,mg,,
6/21/2021,kiersten_dery,6/14/2021,6/17/2021,11:26:00,8:30:00,st1,wetland,road_side,other,22,13,mg,,
6/23/2021,kiersten_dery,6/14/2021,6/17/2021,11:50:00,9:00:00,st2,stream,pool,caddisfly,1,7,mg,,
6/23/2021,kiersten_dery,6/14/2021,6/17/2021,11:50:00,9:00:00,st2,wetland,closed,diptera,41,13,mg,,
6/23/2021,kiersten_dery,6/14/2021,6/17/2021,11:50:00,9:00:00,st2,wetland,open,diptera,114,61,mg,,
6/23/2021,kiersten_dery,6/14/2021,6/17/2021,11:50:00,9:00:00,st2,stream,pool,diptera,13,5,mg,,
6/23/2021,kiersten_dery,6/14/2021,6/17/2021,11:50:00,9:00:00,st2,stream,riffle,diptera,207,29,mg,,
6/23/2021,kiersten_dery,6/14/2021,6/17/2021,11:50:00,9:00:00,st2,wetland,closed,other,46,51,mg,,
6/23/2021,kiersten_dery,6/14/2021,6/17/2021,11:50:00,9:00:00,st2,wetland,open,other,36,18,mg,,
6/23/2021,kiersten_dery,6/14/2021,6/17/2021,11:50:00,9:00:00,st2,stream,pool,other,5,4,mg,,
6/23/2021,kiersten_dery,6/14/2021,6/17/2021,11:50:00,9:00:00,st2,stream,riffle,other,36,61,mg,,
6/30/2021,kiersten_dery,6/14/2021,6/17/2021,12:08:00,9:10:00,st3,stream,pool,caddisfly,1,3,mg,,
6/30/2021,kiersten_dery,6/14/2021,6/17/2021,12:08:00,9:10:00,st3,stream,riffle,caddisfly,8,56,mg,,
6/30/2021,kiersten_dery,6/14/2021,6/17/2021,12:08:00,9:10:00,st3,stream,pool,diptera,111,76,mg,,
6/30/2021,kiersten_dery,6/14/2021,6/17/2021,12:08:00,9:10:00,st3,stream,riffle,diptera,156,28,mg,,
6/30/2021,kiersten_dery,6/14/2021,6/17/2021,12:08:00,9:10:00,st3,stream,riffle,mayfly,1,0,mg,less than 1 mg,
6/30/2021,kiersten_dery,6/14/2021,6/17/2021,12:08:00,9:10:00,st3,stream,riffle,other,109,277,mg,,
7/12/2021,kiersten_dery,7/5/2021,7/7/2021,8:49:00,8:41:00,st1,stream,pool,caddisfly,4,29,mg,,
7/12/2021,kiersten_dery,7/5/2021,7/7/2021,8:49:00,8:41:00,st1,stream,riffle,caddisfly,2,45,mg,,
7/12/2021,kiersten_dery,7/5/2021,7/7/2021,8:49:00,8:41:00,st1,wetland,for_side,diptera,12,5,mg,,
7/12/2021,kiersten_dery,7/5/2021,7/7/2021,8:49:00,8:41:00,st1,stream,pool,diptera,17,3,mg,,
7/12/2021,kiersten_dery,7/5/2021,7/7/2021,8:49:00,8:41:00,st1,stream,riffle,diptera,154,13,mg,,
7/12/2021,kiersten_dery,7/5/2021,7/7/2021,8:49:00,8:41:00,st1,wetland,road_side,diptera,7,1,mg,,
7/12/2021,kiersten_dery,7/5/2021,7/7/2021,8:49:00,8:41:00,st1,wetland,for_side,other,16,29,mg,,
7/12/2021,kiersten_dery,7/5/2021,7/7/2021,8:49:00,8:41:00,st1,stream,pool,other,6,0,mg,less than 1 mg,
7/12/2021,kiersten_dery,7/5/2021,7/7/2021,8:49:00,8:41:00,st1,stream,riffle,other,19,23,mg,,
7/12/2021,kiersten_dery,7/5/2021,7/7/2021,8:49:00,8:41:00,st1,wetland,road_side,other,19,15,mg,,
7/14/2021,kiersten_dery,7/5/2021,7/7/2021,9:17:00,9:05:00,st2,wetland,closed,diptera,142,47,mg,,
7/14/2021,kiersten_dery,7/5/2021,7/7/2021,9:17:00,9:05:00,st2,wetland,open,diptera,120,63,mg,,
7/14/2021,kiersten_dery,7/5/2021,7/7/2021,9:17:00,9:05:00,st2,stream,riffle,diptera,131,5,mg,,
7/14/2021,kiersten_dery,7/5/2021,7/7/2021,9:17:00,9:05:00,st2,wetland,closed,other,91,204,mg,,
7/14/2021,kiersten_dery,7/5/2021,7/7/2021,9:17:00,9:05:00,st2,wetland,open,other,21,39,mg,,
7/14/2021,kiersten_dery,7/5/2021,7/7/2021,9:17:00,9:05:00,st2,stream,riffle,other,15,26,mg,,
7/19/2021,kiersten_dery,7/5/2021,7/7/2021,9:36:00,9:25:00,st3,stream,pool,caddisfly,1,4,mg,,
7/19/2021,kiersten_dery,7/5/2021,7/7/2021,9:36:00,9:25:00,st3,stream,riffle,caddisfly,1,4,mg,,
7/19/2021,kiersten_dery,7/5/2021,7/7/2021,9:36:00,9:25:00,st3,stream,pool,diptera,121,11,mg,,
7/19/2021,kiersten_dery,7/5/2021,7/7/2021,9:36:00,9:25:00,st3,stream,riffle,diptera,31,5,mg,,
7/19/2021,kiersten_dery,7/5/2021,7/7/2021,9:36:00,9:25:00,st3,stream,pool,other,10,3,mg,,
7/19/2021,kiersten_dery,7/5/2021,7/7/2021,9:36:00,9:25:00,st3,stream,riffle,other,31,24,mg,,
8/7/2021,akira_terui,7/5/2021,7/7/2021,9:17:00,9:05:00,st2,stream,pool,caddisfly,1,6,mg,,
8/7/2021,akira_terui,7/5/2021,7/7/2021,9:17:00,9:05:00,st2,stream,pool,diptera,9,3,mg,,
8/7/2021,akira_terui,7/5/2021,7/7/2021,9:17:00,9:05:00,st2,stream,pool,other,15,7,mg,,
8/20/2021,lucia_ramirez,8/6/2021,8/10/2021,9:00:00,8:45:00,st1,wetland,road_side,diptera,35,52,mg,,
8/20/2021,lucia_ramirez,8/6/2021,8/10/2021,9:00:00,8:45:00,st1,wetland,road_side,other,10,0,mg,less than 1 mg,
8/20/2021,lucia_ramirez,8/6/2021,8/10/2021,9:45:00,9:00:00,st2,wetland,open,mayfly,9,36,mg,,
8/20/2021,lucia_ramirez,8/6/2021,8/10/2021,9:45:00,9:00:00,st2,wetland,open,other,50,116,mg,,
8/20/2021,lucia_ramirez,8/6/2021,8/10/2021,9:45:00,9:00:00,st2,wetland,open,diptera,209,24,mg,,
8/20/2021,page,8/6/2021,8/10/2021,9:00:00,8:45:00,st1,wetland,for_side,diptera,44,55,mg,,11/11/21 AT microhabitat corrected
8/20/2021,page,8/6/2021,8/10/2021,9:45:00,9:00:00,st2,wetland,closed,diptera,228,86,mg,,
8/20/2021,page,8/6/2021,8/10/2021,9:45:00,9:00:00,st2,wetland,closed,mayfly,1,10,mg,,
8/20/2021,page,8/6/2021,8/10/2021,9:45:00,9:00:00,st2,wetland,closed,other,15,9,mg,,
8/20/2021,page,8/6/2021,8/10/2021,9:45:00,9:00:00,st2,wetland,closed,damselfly,2,27,mg,,
8/20/2021,lucia_ramirez,8/8/2021,8/10/2021,9:30:00,8:45:00,st1,stream,riffle,other,11,34,mg,,
8/20/2021,lucia_ramirez,8/8/2021,8/10/2021,9:30:00,8:45:00,st1,stream,riffle,diptera,7,0,mg,less than 1 mg,
8/20/2021,lucia_ramirez,8/8/2021,8/10/2021,9:30:00,8:45:00,st1,stream,pool,diptera,3,0,mg,less than 1 mg,
8/20/2021,lucia_ramirez,8/8/2021,8/10/2021,9:30:00,8:45:00,st1,stream,pool,other,1,18,mg,,
8/27/2021,lucia_ramirez,8/8/2021,8/10/2021,11:00:00,9:15:00,st3,stream,pool,diptera,20,0,mg,less than 1 mg,
8/27/2021,lucia_ramirez,8/8/2021,8/10/2021,11:00:00,9:15:00,st3,stream,pool,other,2,0,mg,less than 1 mg,
8/27/2021,lucia_ramirez,8/8/2021,8/10/2021,10:15:00,9:00:00,st2,stream,riffle,other,10,0,mg,less than 1 mg,
8/27/2021,lucia_ramirez,8/8/2021,8/10/2021,10:15:00,9:00:00,st2,stream,riffle,diptera,22,0,mg,less than 1 mg,
8/27/2021,lucia_ramirez,8/8/2021,8/10/2021,11:00:00,9:15:00,st3,stream,riffle,diptera,52,0,mg,less than 1 mg,
8/27/2021,lucia_ramirez,8/8/2021,8/10/2021,11:00:00,9:15:00,st3,stream,riffle,other,22,6,mg,,
8/27/2021,lucia_ramirez,8/8/2021,8/10/2021,11:00:00,9:15:00,st3,stream,riffle,mayfly,16,36,mg,,
8/20/2021,page,8/8/2021,8/10/2021,10:15:00,9:00:00,st2,stream,pool,other,6,2,mg,,
8/20/2021,page,8/8/2021,8/10/2021,10:15:00,9:00:00,st2,stream,pool,caddisfly,1,5,mg,,
8/20/2021,page,8/8/2021,8/10/2021,10:15:00,9:00:00,st2,stream,pool,diptera,11,5,mg,,
9/10/2021,page,9/6/2021,9/8/2021,9:15:00,10:00:00,st1,wetland,for_side,diptera,8,9,mg,,11/11/21 AT microhabitat corrected
9/10/2021,page,9/6/2021,9/8/2021,9:15:00,10:00:00,st1,wetland,for_side,other,3,0,mg,less than 1mg ,11/11/21 AT microhabitat corrected
9/10/2021,page,9/6/2021,9/8/2021,9:50:00,10:30:00,st2,stream,riffle,caddisfly,2,26,mg,,
9/10/2021,page,9/6/2021,9/8/2021,9:50:00,10:30:00,st2,stream,riffle,diptera,155,4,mg,,
9/10/2021,page,9/6/2021,9/8/2021,9:50:00,10:30:00,st2,stream,riffle,other,20,1,mg,,
9/10/2021,lucia_ramirez,9/6/2021,9/8/2021,9:15:00,10:00:00,st1,stream,pool,diptera,3,0,mg,less than 1 mg,
9/10/2021,lucia_ramirez,9/6/2021,9/8/2021,9:15:00,10:00:00,st1,stream,pool,other,10,0,mg,less than 1 mg,
9/10/2021,lucia_ramirez,9/6/2021,9/8/2021,9:15:00,10:00:00,st1,wetland,road_side,diptera,13,2,mg,,
9/10/2021,lucia_ramirez,9/6/2021,9/8/2021,9:15:00,10:00:00,st1,wetland,road_side,other,2,0,mg,less than 1 mg,
9/10/2021,lucia_ramirez,9/6/2021,9/8/2021,9:50:00,10:30:00,st2,wetland,open,mayfly,2,0,mg,less than 1 mg,
9/10/2021,lucia_ramirez,9/6/2021,9/8/2021,9:50:00,10:30:00,st2,wetland,open,diptera,106,28,mg,,
9/10/2021,lucia_ramirez,9/6/2021,9/8/2021,9:50:00,10:30:00,st2,wetland,open,other,11,5,mg,,
9/10/2021,lucia_ramirez,9/6/2021,9/8/2021,9:50:00,10:30:00,st2,wetland,closed,other,32,0,mg,less than 1 mg,
9/10/2021,lucia_ramirez,9/6/2021,9/8/2021,9:50:00,10:30:00,st2,wetland,closed,diptera,68,19,mg,,
9/24/2021,lucia_ramirez,9/6/2021,9/8/2021,10:15:00,10:45:00,st3,stream,riffle,mayfly,5,5,mg,,
9/24/2021,lucia_ramirez,9/6/2021,9/8/2021,10:15:00,10:45:00,st3,stream,riffle,diptera,50,3,mg,,
9/24/2021,lucia_ramirez,9/6/2021,9/8/2021,10:15:00,10:45:00,st3,stream,riffle,other,21,14,mg,,
9/24/2021,lucia_ramirez,9/6/2021,9/8/2021,9:50:00,10:30:00,st2,stream,pool,other,4,35,mg,,
9/24/2021,lucia_ramirez,9/6/2021,9/8/2021,9:50:00,10:30:00,st2,stream,pool,diptera,6,0,mg,less than 1 mg,
9/24/2021,lucia_ramirez,9/6/2021,9/8/2021,9:15:00,10:00:00,st1,stream,riffle,other,18,11,mg,,
9/24/2021,lucia_ramirez,9/6/2021,9/8/2021,9:15:00,10:00:00,st1,stream,riffle,diptera,36,1,mg,,
9/24/2021,lucia_ramirez,9/6/2021,9/8/2021,10:15:00,10:45:00,st3,stream,pool,other,6,7,mg,,
9/24/2021,lucia_ramirez,9/6/2021,9/8/2021,10:15:00,10:45:00,st3,stream,pool,diptera,10,2,mg,,
10/22/2021,lucia_ramirez,10/16/2021,10/20/2021,16:30:00,11:00:00,st3,stream,riffle,other,11,18,mg,,
10/22/2021,lucia_ramirez,10/16/2021,10/20/2021,16:30:00,11:00:00,st3,stream,riffle,diptera,104,6,mg,,
10/22/2021,lucia_ramirez,10/16/2021,10/20/2021,16:15:00,10:50:00,st2,wetland,open,other,9,29,mg,,
10/22/2021,lucia_ramirez,10/16/2021,10/20/2021,16:15:00,10:50:00,st2,wetland,open,diptera,10,6,mg,,
10/22/2021,lucia_ramirez,10/16/2021,10/20/2021,16:15:00,10:50:00,st2,stream,pool,diptera,21,7,mg,,
10/22/2021,lucia_ramirez,10/16/2021,10/20/2021,16:15:00,10:50:00,st2,stream,pool,other,5,5,mg,,
10/29/2021,lucia_ramirez,10/16/2021,10/20/2021,16:15:00,10:50:00,st2,wetland,closed,diptera,12,4,mg,,
10/29/2021,lucia_ramirez,10/16/2021,10/20/2021,16:15:00,10:50:00,st2,wetland,closed,other,8,38,mg,,
10/29/2021,lucia_ramirez,10/16/2021,10/20/2021,15:45:00,10:30:00,st1,stream,pool,diptera,7,0,mg,less than 1 mg,
10/29/2021,lucia_ramirez,10/16/2021,10/20/2021,15:45:00,10:30:00,st1,stream,pool,other,4,0,mg,less than 1 mg,
10/29/2021,lucia_ramirez,10/16/2021,10/20/2021,16:30:00,11:00:00,st3,stream,pool,diptera,38,2,mg,,
10/29/2021,lucia_ramirez,10/16/2021,10/20/2021,16:30:00,11:00:00,st3,stream,pool,other,8,6,mg,,
10/29/2021,lucia_ramirez,10/16/2021,10/20/2021,15:45:00,10:30:00,st1,wetland,road_side,diptera,3,4,mg,,
10/29/2021,lucia_ramirez,10/16/2021,10/20/2021,15:45:00,10:30:00,st1,wetland,road_side,other,5,0,mg,less than 1 mg,
10/29/2021,lucia_ramirez,10/16/2021,10/20/2021,15:45:00,10:30:00,st1,wetland,for_side,diptera,4,7,mg,,11/11/21 AT microhabitat corrected
10/29/2021,lucia_ramirez,10/16/2021,10/20/2021,15:45:00,10:30:00,st1,wetland,for_side,other,2,0,mg,less than 1 mg,11/11/21 AT microhabitat corrected
10/29/2021,lucia_ramirez,10/16/2021,10/20/2021,16:15:00,10:50:00,st2,stream,riffle,diptera,337,22,mg,,
10/29/2021,lucia_ramirez,10/16/2021,10/20/2021,16:15:00,10:50:00,st2,stream,riffle,other,10,61,mg,,
11/09/2021,lucia_ramirez,10/16/2021,10/20/2021,15:45:00,10:30:00,st1,stream,riffle,diptera,395,28,mg,,
11/09/2021,lucia_ramirez,10/16/2021,10/20/2021,15:45:00,10:30:00,st1,stream,riffle,other,15,8,mg,,
11/19/2021,lucia_ramirez,11/12/2021,11/17/2021,9:45:00,13:30:00,st1,wetland,for_side,diptera,9,0,mg,less than 1 mg,
11/19/2021,lucia_ramirez,11/12/2021,11/17/2021,9:45:00,13:30:00,st1,wetland,for_side,other,1,0,mg,less than 1 mg,
11/19/2021,lucia_ramirez,11/12/2021,11/17/2021,9:45:00,13:30:00,st1,wetland,road_side,diptera,2,0,mg,less than 1 mg,
11/19/2021,lucia_ramirez,11/12/2021,11/17/2021,9:45:00,13:30:00,st1,stream,riffle,diptera,73,5,mg,,
11/19/2021,lucia_ramirez,11/12/2021,11/17/2021,9:45:00,13:30:00,st1,stream,riffle,other,6,3,mg,,
11/19/2021,lucia_ramirez,11/12/2021,11/17/2021,9:45:00,13:30:00,st1,stream,pool,diptera,22,3,mg,,
11/19/2021,lucia_ramirez,11/12/2021,11/17/2021,9:45:00,13:30:00,st1,stream,pool,other,3,0,mg,less than 1 mg,
1/25/2022,lucia_ramirez,11/12/2021,11/17/2021,10:15:00,13:47:00,st2,stream,riffle,diptera,470,60,mg,,
11/19/2021,lucia_ramirez,11/12/2021,11/17/2021,10:15:00,13:47:00,st2,wetland,closed,diptera,2,7,mg,,
11/19/2021,lucia_ramirez,11/12/2021,11/17/2021,10:15:00,13:47:00,st2,wetland,closed,other,2,17,mg,,
11/19/2021,lucia_ramirez,11/12/2021,11/17/2021,10:15:00,13:47:00,st2,stream,pool,diptera,17,3,mg,,
11/19/2021,lucia_ramirez,11/12/2021,11/17/2021,10:15:00,13:47:00,st2,stream,pool,other,2,0,mg,less than 1 mg,
11/19/2021,lucia_ramirez,11/12/2021,11/17/2021,10:15:00,13:47:00,st2,wetland,open,diptera,3,3,mg,,
11/19/2021,lucia_ramirez,11/12/2021,11/17/2021,10:15:00,13:47:00,st2,wetland,open,other,4,52,mg,,
11/19/2021,lucia_ramirez,11/12/2021,11/17/2021,10:40:00,13:56:00,st3,stream,riffle,diptera,112,7,mg,,
11/19/2021,lucia_ramirez,11/12/2021,11/17/2021,10:40:00,13:56:00,st3,stream,riffle,other,10,10,mg,,
1/13/2022,lucia_ramirez,11/12/2021,11/17/2021,10:40:00,13:56:00,st3,stream,pool,diptera,54,2,mg,,
1/13/2022,lucia_ramirez,11/12/2021,11/17/2021,10:40:00,13:56:00,st3,stream,pool,other,2,2,mg,,
1/13/2022,lucia_ramirez,12/13/2021,12/17/2021,9:41:00,9:24:00,st1,stream,riffle,diptera,11,0,mg,less than 1 mg,
1/13/2022,lucia_ramirez,12/13/2021,12/17/2021,9:41:00,9:24:00,st1,stream,riffle,other,2,0,mg,less than 1 mg,
1/13/2022,lucia_ramirez,12/13/2021,12/17/2021,9:41:00,9:24:00,st1,stream,pool,diptera,20,0,mg,less than 1 mg,
1/13/2022,lucia_ramirez,12/13/2021,12/17/2021,9:41:00,9:24:00,st1,wetland,road_side,no_aquatic_insect,0,0,mg,No insects in sample,"3/18/22 AT, specified taxon, abundance, wet mass"
1/13/2022,lucia_ramirez,12/13/2021,12/17/2021,9:41:00,9:24:00,st1,wetland,for_side,no_aquatic_insect,0,0,mg,No insects in sample,"3/18/22 AT, specified taxon, abundance, wet mass"
1/13/2022,lucia_ramirez,12/13/2021,12/17/2021,10:15:00,9:42:00,st2,wetland,open,no_aquatic_insect,0,0,mg,No insects in sample,"3/18/22 AT, specified taxon, abundance, wet mass"
1/13/2022,lucia_ramirez,12/13/2021,12/17/2021,10:15:00,9:42:00,st2,wetland,closed,diptera,1,0,mg,less than 1 mg,
1/13/2022,lucia_ramirez,12/13/2021,12/17/2021,10:56:00,10:03:00,st3,stream,pool,diptera,3,0,mg,less than 1 mg,
1/13/2022,lucia_ramirez,12/13/2021,12/17/2021,10:56:00,10:03:00,st3,stream,pool,other,3,0,mg,less than 1 mg,
1/25/2022,lucia_ramirez,12/13/2021,12/17/2021,10:15:00,9:42:00,st2,stream,pool,diptera,4,0,mg,less than 1 mg,
